iter	Passed	Remaining
0	228	228648
1	230	115138
2	232	77338
3	234	58467
4	236	47093
5	238	39507
6	239	33970
7	241	29924
8	243	26781
9	245	24265
10	246	22198
11	248	20497
12	250	19037
13	252	17779
14	254	16734
15	256	15775
16	258	14946
17	260	14203
18	262	13546
19	264	12946
20	266	12415
21	268	11919
22	269	11449
23	273	11122
24	282	11010
25	284	10641
26	286	10306
27	288	10001
28	290	9716
29	292	9444
30	293	9183
31	295	8937
32	297	8712
33	299	8503
34	301	8305
35	303	8118
36	305	7942
37	306	7770
38	308	7597
39	310	7446
40	311	7288
41	313	7146
42	315	7017
43	317	6892
44	319	6779
45	321	6669
46	323	6559
47	325	6452
48	327	6348
49	334	6354
50	336	6256
51	337	6158
52	339	6061
53	340	5973
54	343	5893
55	344	5808
56	347	5742
57	348	5664
58	350	5591
59	352	5522
60	354	5464
61	356	5400
62	359	5341
63	360	5278
64	362	5220
65	364	5160
66	366	5104
67	368	5052
68	370	5002
69	372	4949
70	374	4897
71	375	4834
72	376	4781
73	377	4723
74	378	4668
75	380	4620
76	381	4572
77	383	4527
78	385	4493
79	387	4454
80	389	4414
81	390	4374
82	392	4333
83	393	4292
84	395	4254
85	398	4232
86	399	4196
87	401	4161
88	403	4127
89	404	4091
90	406	4057
91	408	4029
92	410	4002
93	412	3972
94	413	3942
95	415	3908
96	416	3877
97	418	3847
98	419	3818
99	420	3788
100	422	3760
101	424	3735
102	425	3709
103	427	3682
104	428	3655
105	430	3629
106	431	3603
107	433	3577
108	433	3547
109	436	3527
110	438	3508
111	439	3485
112	440	3458
113	441	3431
114	443	3409
115	444	3386
116	445	3364
117	447	3343
118	448	3322
119	451	3308
120	453	3291
121	454	3273
122	455	3250
123	457	3231
124	459	3214
125	461	3198
126	463	3183
127	465	3170
128	466	3151
129	468	3133
130	469	3115
131	471	3098
132	472	3080
133	473	3062
134	475	3046
135	477	3036
136	479	3022
137	481	3007
138	482	2990
139	484	2976
140	486	2962
141	487	2945
142	489	2930
143	490	2917
144	492	2904
145	494	2890
146	495	2874
147	497	2861
148	497	2843
149	499	2828
150	500	2814
151	502	2801
152	503	2789
153	505	2779
154	507	2765
155	508	2751
156	510	2739
157	511	2727
158	513	2715
159	514	2700
160	516	2690
161	517	2679
162	519	2668
163	521	2658
164	523	2648
165	525	2638
166	526	2628
167	528	2617
168	530	2606
169	532	2598
170	534	2589
171	535	2579
172	536	2565
173	538	2555
174	540	2545
175	541	2536
176	543	2527
177	545	2517
178	547	2509
179	549	2501
180	549	2488
181	551	2479
182	553	2470
183	555	2462
184	556	2453
185	559	2446
186	560	2438
187	562	2430
188	564	2421
189	566	2413
190	567	2405
191	569	2397
192	571	2387
193	572	2380
194	574	2373
195	576	2366
196	578	2358
197	580	2350
198	582	2342
199	583	2334
200	585	2326
201	587	2319
202	589	2312
203	590	2305
204	592	2297
205	594	2290
206	596	2283
207	597	2276
208	599	2270
209	602	2264
210	604	2258
211	605	2251
212	607	2243
213	608	2236
214	610	2229
215	612	2222
216	614	2216
217	616	2210
218	618	2204
219	619	2197
220	621	2190
221	623	2184
222	625	2179
223	627	2173
224	630	2171
225	632	2165
226	634	2160
227	635	2153
228	637	2146
229	639	2140
230	641	2134
231	643	2128
232	644	2123
233	646	2116
234	648	2110
235	650	2104
236	651	2097
237	652	2090
238	654	2084
239	656	2080
240	658	2074
241	660	2068
242	662	2062
243	663	2056
244	665	2050
245	667	2044
246	669	2039
247	671	2035
248	673	2030
249	674	2024
250	676	2019
251	678	2012
252	679	2007
253	681	2001
254	684	1999
255	686	1994
256	688	1989
257	689	1984
258	691	1978
259	693	1973
260	695	1968
261	697	1963
262	699	1958
263	701	1955
264	703	1951
265	705	1946
266	707	1942
267	709	1937
268	711	1933
269	713	1929
270	715	1924
271	717	1919
272	718	1913
273	720	1908
274	721	1902
275	723	1897
276	725	1893
277	727	1888
278	728	1883
279	730	1878
280	732	1873
281	733	1868
282	735	1863
283	736	1857
284	739	1854
285	740	1849
286	742	1844
287	744	1839
288	746	1835
289	747	1830
290	749	1825
291	752	1825
292	754	1821
293	757	1817
294	758	1813
295	760	1809
296	763	1806
297	768	1810
298	770	1806
299	772	1802
300	774	1798
301	776	1794
302	778	1789
303	781	1790
304	783	1786
305	785	1782
306	787	1778
307	789	1773
308	791	1769
309	793	1765
310	795	1761
311	797	1757
312	799	1753
313	801	1750
314	803	1746
315	804	1742
316	806	1737
317	808	1734
318	810	1730
319	812	1727
320	815	1724
321	817	1721
322	819	1718
323	821	1714
324	823	1711
325	825	1707
326	827	1703
327	829	1699
328	831	1695
329	833	1692
330	835	1688
331	837	1685
332	839	1681
333	841	1678
334	843	1674
335	846	1673
336	848	1670
337	850	1666
338	853	1663
339	854	1659
340	856	1656
341	858	1652
342	860	1648
343	862	1645
344	864	1641
345	866	1637
346	868	1633
347	869	1629
348	871	1626
349	873	1622
350	875	1619
351	878	1616
352	880	1612
353	881	1609
354	883	1605
355	885	1601
356	887	1598
357	889	1595
358	891	1591
359	893	1588
360	895	1584
361	897	1581
362	898	1577
363	900	1573
364	902	1570
365	904	1567
366	906	1563
367	908	1560
368	910	1557
369	912	1553
370	914	1549
371	915	1546
372	917	1542
373	919	1539
374	921	1535
375	923	1532
376	925	1528
377	926	1524
378	928	1521
379	930	1517
380	932	1514
381	933	1511
382	935	1507
383	937	1503
384	939	1500
385	940	1496
386	942	1493
387	944	1490
388	947	1487
389	948	1484
390	950	1480
391	952	1476
392	953	1473
393	955	1469
394	957	1466
395	959	1463
396	961	1460
397	963	1457
398	965	1453
399	966	1450
400	968	1447
401	970	1444
402	973	1441
403	974	1438
404	976	1434
405	978	1431
406	980	1428
407	981	1424
408	983	1421
409	986	1419
410	988	1416
411	990	1413
412	992	1410
413	993	1406
414	996	1404
415	997	1400
416	999	1398
417	1002	1395
418	1003	1392
419	1005	1388
420	1007	1386
421	1009	1383
422	1011	1380
423	1013	1377
424	1015	1374
425	1017	1371
426	1019	1368
427	1021	1365
428	1023	1361
429	1025	1359
430	1027	1356
431	1029	1353
432	1031	1350
433	1032	1347
434	1034	1343
435	1036	1341
436	1038	1338
437	1040	1335
438	1042	1332
439	1044	1329
440	1046	1326
441	1047	1322
442	1049	1320
443	1052	1317
444	1054	1314
445	1058	1314
446	1060	1312
447	1062	1309
448	1066	1308
449	1068	1305
450	1070	1302
451	1072	1299
452	1073	1296
453	1075	1293
454	1077	1290
455	1079	1287
456	1081	1285
457	1083	1282
458	1085	1279
459	1087	1276
460	1089	1273
461	1090	1270
462	1092	1267
463	1094	1264
464	1096	1261
465	1098	1258
466	1100	1256
467	1102	1252
468	1104	1250
469	1106	1247
470	1108	1244
